# WFCD warframe-drop-data relics.json — relic reward table.
# reward_name resolves to a catalog slug at runtime (normalize_name); Forma/Kuva/etc. stay unpriced.
# tier	relic_name	refinement	reward_name	chance
Axi	A17	Exceptional	Orthos Prime Blueprint	13
Axi	A17	Exceptional	Shade Prime Blueprint	13
Axi	A17	Exceptional	Wisp Prime Systems Blueprint	23.33
Axi	A17	Flawless	Afuris Prime Receiver	6
Axi	A17	Flawless	Braton Prime Barrel	20
Axi	A17	Flawless	Forma Blueprint	20
Axi	A17	Flawless	Orthos Prime Blueprint	17
Axi	A17	Flawless	Shade Prime Blueprint	17
Axi	A17	Flawless	Wisp Prime Systems Blueprint	20
Axi	A17	Intact	Afuris Prime Receiver	2
Axi	A17	Intact	Braton Prime Barrel	25.33
Axi	A17	Intact	Forma Blueprint	25.33
Axi	A17	Intact	Orthos Prime Blueprint	11
Axi	A17	Intact	Shade Prime Blueprint	11
Axi	A17	Intact	Wisp Prime Systems Blueprint	25.33
Axi	A17	Radiant	Afuris Prime Receiver	10
Axi	A17	Radiant	Braton Prime Barrel	16.67
Axi	A17	Radiant	Forma Blueprint	16.67
Axi	A17	Radiant	Orthos Prime Blueprint	20
Axi	A17	Radiant	Shade Prime Blueprint	20
Axi	A17	Radiant	Wisp Prime Systems Blueprint	16.67
Axi	A18	Exceptional	Acceltra Prime Stock	4
Axi	A18	Exceptional	Akbronco Prime Link	13
Axi	A18	Exceptional	Cobra & Crane Prime Hilt	23.33
Axi	A18	Exceptional	Forma Blueprint	23.33
Axi	A18	Exceptional	Hildryn Prime Chassis Blueprint	13
Axi	A18	Exceptional	Paris Prime Lower Limb	23.33
Axi	A18	Flawless	Acceltra Prime Stock	6
Axi	A18	Flawless	Akbronco Prime Link	17
Axi	A18	Flawless	Cobra & Crane Prime Hilt	20
Axi	A18	Flawless	Forma Blueprint	20
Axi	A18	Flawless	Hildryn Prime Chassis Blueprint	17
Axi	A18	Flawless	Paris Prime Lower Limb	20
Axi	A18	Intact	Acceltra Prime Stock	2
Axi	A18	Intact	Akbronco Prime Link	11
Axi	A18	Intact	Cobra & Crane Prime Hilt	25.33
Axi	A18	Intact	Forma Blueprint	25.33
Axi	A18	Intact	Hildryn Prime Chassis Blueprint	11
Axi	A18	Intact	Paris Prime Lower Limb	25.33
Axi	A18	Radiant	Acceltra Prime Stock	10
Axi	A18	Radiant	Akbronco Prime Link	20
Axi	A18	Radiant	Cobra & Crane Prime Hilt	16.67
Axi	A18	Radiant	Forma Blueprint	16.67
Axi	A18	Radiant	Hildryn Prime Chassis Blueprint	20
Axi	A18	Radiant	Paris Prime Lower Limb	16.67
Axi	A19	Exceptional	Acceltra Prime Stock	4
Axi	A19	Exceptional	Bronco Prime Receiver	23.33
Axi	A19	Exceptional	Epitaph Prime Blueprint	23.33
Axi	A19	Exceptional	Larkspur Prime Receiver	13
Axi	A19	Exceptional	Paris Prime Blueprint	23.33
Axi	A19	Exceptional	Xaku Prime Systems Blueprint	13
Axi	A19	Flawless	Acceltra Prime Stock	6
Axi	A19	Flawless	Bronco Prime Receiver	20
Axi	A19	Flawless	Epitaph Prime Blueprint	20
Axi	A19	Flawless	Larkspur Prime Receiver	17
Axi	A19	Flawless	Paris Prime Blueprint	20
Axi	A19	Flawless	Xaku Prime Systems Blueprint	17
Axi	A19	Intact	Acceltra Prime Stock	2
Axi	A19	Intact	Bronco Prime Receiver	25.33
Axi	A19	Intact	Epitaph Prime Blueprint	25.33
Axi	A19	Intact	Larkspur Prime Receiver	11
Axi	A19	Intact	Paris Prime Blueprint	25.33
Axi	A19	Intact	Xaku Prime Systems Blueprint	11
Axi	A19	Radiant	Acceltra Prime Stock	10
Axi	A19	Radiant	Bronco Prime Receiver	16.67
Axi	A19	Radiant	Epitaph Prime Blueprint	16.67
Axi	A19	Radiant	Larkspur Prime Receiver	20
Axi	A19	Radiant	Paris Prime Blueprint	16.67
Axi	A19	Radiant	Xaku Prime Systems Blueprint	20
Axi	A2	Exceptional	Aklex Prime Blueprint	13
Axi	A2	Exceptional	Aklex Prime Link	4
Axi	A2	Exceptional	Forma Blueprint	23.33
Axi	A2	Exceptional	Lex Prime Barrel	23.33
Axi	A2	Exceptional	Lex Prime Blueprint	13
Axi	A2	Exceptional	Lex Prime Receiver	23.33
Axi	A2	Flawless	Aklex Prime Blueprint	17
Axi	A2	Flawless	Aklex Prime Link	6
Axi	A2	Flawless	Forma Blueprint	20
Axi	A2	Flawless	Lex Prime Barrel	20
Axi	A2	Flawless	Lex Prime Blueprint	17
Axi	A2	Flawless	Lex Prime Receiver	20
Axi	A2	Intact	Aklex Prime Blueprint	11
Axi	A2	Intact	Aklex Prime Link	2
Axi	A2	Intact	Forma Blueprint	25.33
Axi	A2	Intact	Lex Prime Barrel	25.33
Axi	A2	Intact	Lex Prime Blueprint	11
Axi	A2	Intact	Lex Prime Receiver	25.33
Axi	A2	Radiant	Aklex Prime Blueprint	20
Axi	A2	Radiant	Aklex Prime Link	10
Axi	A2	Radiant	Forma Blueprint	16.67
Axi	A2	Radiant	Lex Prime Barrel	16.67
Axi	A2	Radiant	Lex Prime Blueprint	20
Axi	A2	Radiant	Lex Prime Receiver	16.67
Axi	A20	Exceptional	Alternox Prime Blueprint	4
Axi	A20	Exceptional	Cedo Prime Stock	23.33
Axi	A20	Exceptional	Daikyu Prime String	23.33
Axi	A20	Exceptional	Kompressa Prime Receiver	13
Axi	A20	Exceptional	Lavos Prime Neuroptics Blueprint	13
Axi	A20	Exceptional	Velox Prime Receiver	23.33
Axi	A20	Flawless	Alternox Prime Blueprint	6
Axi	A20	Flawless	Cedo Prime Stock	20
Axi	A20	Flawless	Daikyu Prime String	20
Axi	A20	Flawless	Kompressa Prime Receiver	17
Axi	A20	Flawless	Lavos Prime Neuroptics Blueprint	17
Axi	A20	Flawless	Velox Prime Receiver	20
Axi	A20	Intact	Alternox Prime Blueprint	2
Axi	A20	Intact	Cedo Prime Stock	25.33
Axi	A20	Intact	Daikyu Prime String	25.33
Axi	A20	Intact	Kompressa Prime Receiver	11
Axi	A20	Intact	Lavos Prime Neuroptics Blueprint	11
Axi	A20	Intact	Velox Prime Receiver	25.33
Axi	A20	Radiant	Alternox Prime Blueprint	10
Axi	A20	Radiant	Cedo Prime Stock	16.67
Axi	A20	Radiant	Daikyu Prime String	16.67
Axi	A20	Radiant	Kompressa Prime Receiver	20
Axi	A20	Radiant	Lavos Prime Neuroptics Blueprint	20
Axi	A20	Radiant	Velox Prime Receiver	16.67
Axi	A3	Exceptional	Akbolto Prime Receiver	4
Axi	A3	Exceptional	Braton Prime Barrel	23.33
Axi	A3	Exceptional	Cernos Prime String	13
Axi	A3	Exceptional	Helios Prime Carapace	23.33
Axi	A3	Exceptional	Hydroid Prime Neuroptics Blueprint	13
Axi	A3	Exceptional	Kogake Prime Boot	23.33
Axi	A3	Flawless	Akbolto Prime Receiver	6
Axi	A3	Flawless	Braton Prime Barrel	20
Axi	A3	Flawless	Cernos Prime String	17
Axi	A3	Flawless	Helios Prime Carapace	20
Axi	A3	Flawless	Hydroid Prime Neuroptics Blueprint	17
Axi	A3	Flawless	Kogake Prime Boot	20
Axi	A3	Intact	Akbolto Prime Receiver	2
Axi	A3	Intact	Braton Prime Barrel	25.33
Axi	A3	Intact	Cernos Prime String	11
Axi	A3	Intact	Helios Prime Carapace	25.33
Axi	A3	Intact	Hydroid Prime Neuroptics Blueprint	11
Axi	A3	Intact	Kogake Prime Boot	25.33
Axi	A3	Radiant	Akbolto Prime Receiver	10
Axi	A3	Radiant	Braton Prime Barrel	16.67
Axi	A3	Radiant	Cernos Prime String	20
Axi	A3	Radiant	Helios Prime Carapace	16.67
Axi	A3	Radiant	Hydroid Prime Neuroptics Blueprint	20
Axi	A3	Radiant	Kogake Prime Boot	16.67
Axi	A4	Exceptional	Akbolto Prime Receiver	4
Axi	A4	Exceptional	Ballistica Prime String	13
Axi	A4	Exceptional	Braton Prime Stock	23.33
Axi	A4	Exceptional	Fang Prime Handle	13
Axi	A4	Exceptional	Forma Blueprint	23.33
Axi	A4	Exceptional	Zephyr Prime Neuroptics Blueprint	23.33
Axi	A4	Flawless	Akbolto Prime Receiver	6
Axi	A4	Flawless	Ballistica Prime String	17
Axi	A4	Flawless	Braton Prime Stock	20
Axi	A4	Flawless	Fang Prime Handle	17
Axi	A4	Flawless	Forma Blueprint	20
Axi	A4	Flawless	Zephyr Prime Neuroptics Blueprint	20
Axi	A4	Intact	Akbolto Prime Receiver	2
Axi	A4	Intact	Ballistica Prime String	11
Axi	A4	Intact	Braton Prime Stock	25.33
Axi	A4	Intact	Fang Prime Handle	11
Axi	A4	Intact	Forma Blueprint	25.33
Axi	A4	Intact	Zephyr Prime Neuroptics Blueprint	25.33
Axi	A4	Radiant	Akbolto Prime Receiver	10
Axi	A4	Radiant	Ballistica Prime String	20
Axi	A4	Radiant	Braton Prime Stock	16.67
Axi	A4	Radiant	Fang Prime Handle	20
Axi	A4	Radiant	Forma Blueprint	16.67
Axi	A4	Radiant	Zephyr Prime Neuroptics Blueprint	16.67
Axi	A5	Exceptional	Akvasto Prime Blueprint	4
Axi	A5	Exceptional	Akvasto Prime Link	13
Axi	A5	Exceptional	Forma Blueprint	23.33
Axi	A5	Exceptional	Vasto Prime Barrel	23.33
Axi	A5	Exceptional	Vasto Prime Blueprint	13
Axi	A5	Exceptional	Vasto Prime Receiver	23.33
Axi	A5	Flawless	Akvasto Prime Blueprint	6
Axi	A5	Flawless	Akvasto Prime Link	17
Axi	A5	Flawless	Forma Blueprint	20
Axi	A5	Flawless	Vasto Prime Barrel	20
Axi	A5	Flawless	Vasto Prime Blueprint	17
Axi	A5	Flawless	Vasto Prime Receiver	20
Axi	A5	Intact	Akvasto Prime Blueprint	2
Axi	A5	Intact	Akvasto Prime Link	11
Axi	A5	Intact	Forma Blueprint	25.33
Axi	A5	Intact	Vasto Prime Barrel	25.33
Axi	A5	Intact	Vasto Prime Blueprint	11
Axi	A5	Intact	Vasto Prime Receiver	25.33
Axi	A5	Radiant	Akvasto Prime Blueprint	10
Axi	A5	Radiant	Akvasto Prime Link	20
Axi	A5	Radiant	Forma Blueprint	16.67
Axi	A5	Radiant	Vasto Prime Barrel	16.67
Axi	A5	Radiant	Vasto Prime Blueprint	20
Axi	A5	Radiant	Vasto Prime Receiver	16.67
Axi	A6	Exceptional	Atlas Prime Neuroptics Blueprint	4
Axi	A6	Exceptional	Braton Prime Stock	23.33
Axi	A6	Exceptional	Chroma Prime Blueprint	23.33
Axi	A6	Exceptional	Orthos Prime Handle	23.33
Axi	A6	Exceptional	Tipedo Prime Ornament	13
Axi	A6	Exceptional	Zhuge Prime Blueprint	13
Axi	A6	Flawless	Atlas Prime Neuroptics Blueprint	6
Axi	A6	Flawless	Braton Prime Stock	20
Axi	A6	Flawless	Chroma Prime Blueprint	20
Axi	A6	Flawless	Orthos Prime Handle	20
Axi	A6	Flawless	Tipedo Prime Ornament	17
Axi	A6	Flawless	Zhuge Prime Blueprint	17
Axi	A6	Intact	Atlas Prime Neuroptics Blueprint	2
Axi	A6	Intact	Braton Prime Stock	25.33
Axi	A6	Intact	Chroma Prime Blueprint	25.33
Axi	A6	Intact	Orthos Prime Handle	25.33
Axi	A6	Intact	Tipedo Prime Ornament	11
Axi	A6	Intact	Zhuge Prime Blueprint	11
Axi	A6	Radiant	Atlas Prime Neuroptics Blueprint	10
Axi	A6	Radiant	Braton Prime Stock	16.67
Axi	A6	Radiant	Chroma Prime Blueprint	16.67
Axi	A6	Radiant	Orthos Prime Handle	16.67
Axi	A6	Radiant	Tipedo Prime Ornament	20
Axi	A6	Radiant	Zhuge Prime Blueprint	20
Axi	A7	Exceptional	2X Forma Blueprint	13
Axi	A7	Exceptional	Akstiletto Prime Receiver	23.33
Axi	A7	Exceptional	Ash Prime Systems Blueprint	4
Axi	A7	Exceptional	Braton Prime Blueprint	23.33
Axi	A7	Exceptional	Carrier Prime Systems	23.33
Axi	A7	Exceptional	Fragor Prime Blueprint	13
Axi	A7	Flawless	2X Forma Blueprint	17
Axi	A7	Flawless	Akstiletto Prime Receiver	20
Axi	A7	Flawless	Ash Prime Systems Blueprint	6
Axi	A7	Flawless	Braton Prime Blueprint	20
Axi	A7	Flawless	Carrier Prime Systems	20
Axi	A7	Flawless	Fragor Prime Blueprint	17
Axi	A7	Intact	2X Forma Blueprint	11
Axi	A7	Intact	Akstiletto Prime Receiver	25.33
Axi	A7	Intact	Ash Prime Systems Blueprint	2
Axi	A7	Intact	Braton Prime Blueprint	25.33
Axi	A7	Intact	Carrier Prime Systems	25.33
Axi	A7	Intact	Fragor Prime Blueprint	11
Axi	A7	Radiant	2X Forma Blueprint	20
Axi	A7	Radiant	Akstiletto Prime Receiver	16.67
Axi	A7	Radiant	Ash Prime Systems Blueprint	10
Axi	A7	Radiant	Braton Prime Blueprint	16.67
Axi	A7	Radiant	Carrier Prime Systems	16.67
Axi	A7	Radiant	Fragor Prime Blueprint	20
Axi	A8	Exceptional	2X Forma Blueprint	13
Axi	A8	Exceptional	Aksomati Prime Link	4
Axi	A8	Exceptional	Braton Prime Stock	23.33
Axi	A8	Exceptional	Equinox Prime Chassis Blueprint	23.33
Axi	A8	Exceptional	Gram Prime Blueprint	13
Axi	A8	Exceptional	Pyrana Prime Barrel	23.33
Axi	A8	Flawless	2X Forma Blueprint	17
Axi	A8	Flawless	Aksomati Prime Link	6
Axi	A8	Flawless	Braton Prime Stock	20
Axi	A8	Flawless	Equinox Prime Chassis Blueprint	20
Axi	A8	Flawless	Gram Prime Blueprint	17
Axi	A8	Flawless	Pyrana Prime Barrel	20
Axi	A8	Intact	2X Forma Blueprint	11
Axi	A8	Intact	Aksomati Prime Link	2
Axi	A8	Intact	Braton Prime Stock	25.33
Axi	A8	Intact	Equinox Prime Chassis Blueprint	25.33
Axi	A8	Intact	Gram Prime Blueprint	11
Axi	A8	Intact	Pyrana Prime Barrel	25.33
Axi	A8	Radiant	2X Forma Blueprint	20
Axi	A8	Radiant	Aksomati Prime Link	10
Axi	A8	Radiant	Braton Prime Stock	16.67
Axi	A8	Radiant	Equinox Prime Chassis Blueprint	16.67
Axi	A8	Radiant	Gram Prime Blueprint	20
Axi	A8	Radiant	Pyrana Prime Barrel	16.67
Axi	A9	Exceptional	Akbronco Prime Link	13
Axi	A9	Exceptional	Atlas Prime Neuroptics Blueprint	4
Axi	A9	Exceptional	Gram Prime Blade	23.33
Axi	A9	Exceptional	Ivara Prime Systems Blueprint	13
Axi	A9	Exceptional	Lex Prime Blueprint	23.33
Axi	A9	Exceptional	Rubico Prime Stock	23.33
Axi	A9	Flawless	Akbronco Prime Link	17
Axi	A9	Flawless	Atlas Prime Neuroptics Blueprint	6
Axi	A9	Flawless	Gram Prime Blade	20
Axi	A9	Flawless	Ivara Prime Systems Blueprint	17
Axi	A9	Flawless	Lex Prime Blueprint	20
Axi	A9	Flawless	Rubico Prime Stock	20
Axi	A9	Intact	Akbronco Prime Link	11
Axi	A9	Intact	Atlas Prime Neuroptics Blueprint	2
Axi	A9	Intact	Gram Prime Blade	25.33
Axi	A9	Intact	Ivara Prime Systems Blueprint	11
Axi	A9	Intact	Lex Prime Blueprint	25.33
Axi	A9	Intact	Rubico Prime Stock	25.33
Axi	A9	Radiant	Akbronco Prime Link	20
Axi	A9	Radiant	Atlas Prime Neuroptics Blueprint	10
Axi	A9	Radiant	Gram Prime Blade	16.67
Axi	A9	Radiant	Ivara Prime Systems Blueprint	20
Axi	A9	Radiant	Lex Prime Blueprint	16.67
Axi	A9	Radiant	Rubico Prime Stock	16.67
Axi	B1	Exceptional	Ash Prime Chassis Blueprint	23.33
Axi	B1	Exceptional	Banshee Prime Systems Blueprint	4
Axi	B1	Exceptional	Cernos Prime Blueprint	13
Axi	B1	Exceptional	Euphona Prime Blueprint	23.33
Axi	B1	Exceptional	Fang Prime Blade	23.33
Axi	B1	Exceptional	Kavasa Prime Buckle	13
Axi	B1	Flawless	Ash Prime Chassis Blueprint	20
Axi	B1	Flawless	Banshee Prime Systems Blueprint	6
Axi	B1	Flawless	Cernos Prime Blueprint	17
Axi	B1	Flawless	Euphona Prime Blueprint	20
Axi	B1	Flawless	Fang Prime Blade	20
Axi	B1	Flawless	Kavasa Prime Buckle	17
Axi	B1	Intact	Ash Prime Chassis Blueprint	25.33
Axi	B1	Intact	Banshee Prime Systems Blueprint	2
Axi	B1	Intact	Cernos Prime Blueprint	11
Axi	B1	Intact	Euphona Prime Blueprint	25.33
Axi	B1	Intact	Fang Prime Blade	25.33
Axi	B1	Intact	Kavasa Prime Buckle	11
Axi	B1	Radiant	Ash Prime Chassis Blueprint	16.67
Axi	B1	Radiant	Banshee Prime Systems Blueprint	10
Axi	B1	Radiant	Cernos Prime Blueprint	20
Axi	B1	Radiant	Euphona Prime Blueprint	16.67
Axi	B1	Radiant	Fang Prime Blade	16.67
Axi	B1	Radiant	Kavasa Prime Buckle	20
Axi	B2	Exceptional	2X Forma Blueprint	13
